ShefId,StationName,StationId,StateCode,Elevation,DCO,ForecastGroup,Notes,SnowAnalysis
BRLM8,Barker Lakes,313,MT,8250,Bozeman,PO_CLARK,,PO_CLARK
BSCM8,Basin Creek,315,MT,7180,Bozeman,PO_CLARK,,PO_CLARK
BLKM8,Black Pine,349,MT,7210,Bozeman,PO_CLARK,,PO_CLARK
CLVM8,Calvert Creek,381,MT,6430,Bozeman,PO_CLARK,,PO_CLARK
CMBM8,Combination,410,MT,5600,Bozeman,PO_CLARK,,PO_CLARK
COPM8,Copper Bottom,413,MT,5200,Bozeman,PO_CLARK,,PO_CLARK
CPCM8,Copper Camp,414,MT,6950,Bozeman,PO_CLARK,,PO_CLARK
DALM8,Daly Creek,433,MT,5780,Bozeman,PO_CLARK,,PO_CLARK
FRHM8,Frohner Meadow,487,MT,6480,Bozeman,PO_CLARK,,PO_CLARK
LUBM8,Lubrecht Flume,604,MT,4680,Bozeman,PO_CLARK,,PO_CLARK
NFEM8,N Fk Elk Creek,657,MT,6250,Bozeman,PO_CLARK,,PO_CLARK
NVRM8,Nevada Ridge,903,MT,7020,Bozeman,PO_CLARK,,PO_CLARK
NZCM8,Nez Perce Camp,662,MT,5650,Bozeman,PO_CLARK,,PO_CLARK
PTNM8,Peterson Meadows,930,MT,7200,Bozeman,PO_CLARK,,PO_CLARK
RKPM8,Rocker Peak,722,MT,8000,Bozeman,PO_CLARK,,PO_CLARK
SDMM8,Saddle Mtn.,727,MT,7940,Bozeman,PO_CLARK,,"PO_CLARK, LS_CLEAR, LS_SALMN"
SKAM8,Skalkaho Summit,760,MT,7250,Bozeman,PO_CLARK,,PO_CLARK
STTM8,Stuart Mountain,901,MT,7400,Bozeman,PO_CLARK,,"PO_CLARK, PO_FLAT"
TMCM8,Twelvemile Creek,835,MT,5600,Bozeman,PO_CLARK,,"PO_CLARK, LS_CLEAR"
TWLM8,Twin Lakes,836,MT,6400,Bozeman,PO_CLARK,,"PO_CLARK, LS_CLEAR"
WRMM8,Warm Springs,850,MT,7800,Bozeman,PO_CLARK,,PO_CLARK
BADM8,Badger Pass,307,MT,6900,Bozeman,PO_FLAT,Fire 2017,"PO_FLAT, UC_KOOT"
